data;competicao;adversario;golos_nossos;golos_adversario
05-06-2022;Champions League;Barcelona;0;35
15-09-2023;Champions League;Real Madrid;0;3
18-11-2020;Champions League;Manchester City;1;4
21-02-2021;Champions League;Bayern Munich;0;5
03-12-2020;Champions League;Paris Saint-Germain;0;6
14-08-2021;Champions League;Liverpool;0;4
30-05-2022;Champions League;Juventus;0;2
02-10-2021;Champions League;Chelsea;1;3
23-04-2020;Champions League;Atletico Madrid;0;3
19-06-2023;Champions League;Borussia Dortmund;0;4
05-03-2020;Champions League;Manchester United;0;2
10-09-2022;Champions League;AC Milan;0;3
21-05-2021;Champions League;Inter Milan;0;4
14-01-2022;Champions League;Ajax;0;5
03-07-2020;Champions League;Tottenham Hotspur;0;3
25-12-2021;Champions League;Arsenal;0;2
19-08-2022;Champions League;Napoli;0;4
13-02-2021;Champions League;Sevilla;0;3
07-10-2023;Champions League;RB Leipzig;0;4
22-11-2021;Champions League;Lyon;0;5
15-01-2023;Segunda Divisao Portugal;Academica;0;2
28-04-2021;Segunda Divisao Portugal;Vizela;0;1
12-03-2020;Segunda Divisao Portugal;Feirense;1;3
03-05-2022;Segunda Divisao Portugal;Estoril;0;2
08-01-2023;Segunda Divisao Portugal;Chaves;0;3
06-09-2021;Segunda Divisao Portugal;Arouca;0;2
25-12-2020;Segunda Divisao Portugal;Varzim;0;1
07-06-2021;Segunda Divisao Portugal;Penafiel;1;2
11-08-2022;Segunda Divisao Portugal;Mafra;0;2
13-04-2020;Segunda Divisao Portugal;Oliveirense;0;1
18-11-2022;Segunda Divisao Portugal;Leixões;0;2
19-09-2021;Segunda Divisao Portugal;Casa Pia;2;1
01-03-2023;Segunda Divisao Portugal;Porto B;0;3
02-07-2020;Segunda Divisao Portugal;Academico Viseu;0;2
28-04-2022;Segunda Divisao Portugal;Vilafranquense;0;1
06-08-2021;Segunda Divisao Portugal;Benfica B;0;3
10-12-2020;Segunda Divisao Portugal;Cova da Piedade;1;0
17-05-2023;Segunda Divisao Portugal;Rio Ave B;0;1
23-06-2023;Segunda Divisao Portugal;Farense;0;2
30-11-2022;Segunda Divisao Portugal;Oliveirense;0;3
04-03-2022;Segunda Divisao Portugal;Estrela;0;1
01-01-2023;Segunda Divisao Portugal;Trofense;0;2
02-10-2020;Segunda Divisao Portugal;Vilafranquense;0;1
16-02-2023;Segunda Divisao Portugal;Cova da Piedade;0;2
11-04-2022;Segunda Divisao Portugal;Mafra;0;1
09-01-2022;Segunda Divisao Portugal;Leixões;0;2
02-08-2020;Segunda Divisao Portugal;Chaves;0;1
19-03-2023;Segunda Divisao Portugal;Feirense;0;2
15-05-2023;Segunda Divisao Portugal;Academica;0;2
22-04-2021;Segunda Divisao Portugal;Vizela;0;1
14-06-2022;Primeira Liga Portugal;FC Porto;0;21
03-09-2021;Primeira Liga Portugal;Sporting CP;1;3
08-10-2022;Segunda Divisao Portugal;Arouca;3;2
12-02-2021;Primeira Liga Portugal;Benfica;0;4
11-05-2020;Segunda Divisao Portugal;Varzim;0;1
07-03-2022;Primeira Liga Portugal;Braga;1;2
30-08-2023;Segunda Divisao Portugal;Oliveirense;0;1
24-06-2020;Primeira Liga Portugal;Vitoria Guimaraes;0;3
22-12-2021;Segunda Divisao Portugal;Leixões;0;2
12-09-2020;Primeira Liga Portugal;Portimonense;1;2
11-04-2022;Segunda Divisao Portugal;Casa Pia;0;1
10-01-2022;Primeira Liga Portugal;Boavista;0;1
05-07-2020;Segunda Divisao Portugal;Rio Ave B;0;1
