numero;nome;idade;nacionalidade;ranking_defesa;ranking_ataque;valor_compra
1;Joaquim Alberto;42;Portugal;65;32;10500
2;Lionel Messi;34;Argentina;88;95;150000
3;Cristiano Ronaldo;37;Portugal;99;99;2000000
4;Neymar Jr.;30;Brasil;78;88;120000
5;Robert Lewandowski;34;Polônia;85;80;110000
6;Kevin De Bruyne;30;Bélgica;82;88;130000
7;Kylian Mbappé;23;França;75;92;125000
8;Virgil van Dijk;31;Holanda;88;70;120000
9;Mohamed Salah;30;Egito;78;90;110000
10;Bruno Fernandes;27;Portugal;80;85;100000
11;Sergio Ramos;36;Espanha;85;75;95000
12;Erling Haaland;21;Noruega;70;92;130000
13;Harry Kane;29;Inglaterra;82;85;115000
14;Joshua Kimmich;27;Alemanha;85;80;120000
15;Romelu Lukaku;29;Bélgica;78;88;110000
16;Luis Suárez;35;Uruguai;75;90;105000
17;Dona Dolores;60;Portugal;70;20;50000
18;Zé Cabra Jr.;40;Portugal;50;60;35000
19;Gato Fedorento;45;Portugal;65;55;42000
20;Camões Troll;38;Portugal;75;40;48000
21;Sô Zé da Adega;55;Portugal;60;30;38000
22;Maria Leva as Tupperwares;33;Portugal;55;70;40000
23;Quim Roscas;50;Portugal;45;80;38000
24;Zeca Afonso Remix;42;Portugal;68;45;45000
25;Bacalhau à Brás;28;Portugal;72;60;47000
26;Manuel Carpinteiro;47;Portugal;62;50;42000
27;Piri Piri Man;40;Portugal;58;68;43000
28;Bifana Master;35;Portugal;65;55;41000
29;Maria Saloia;31;Portugal;72;50;44000
30;Vasco da Gamael;29;Portugal;75;40;46000
31;Fado Triste;34;Portugal;48;75;39000
32;Pastel de Nata Ninja;27;Portugal;68;60;42000
33;Avozinha Tech;72;Portugal;35;80;35000
34;Bacalhau à Moda Gamer;31;Portugal;75;55;43000
35;Super Fernando Mendes;45;Portugal;60;70;41000
36;Ginja Malabarista;38;Portugal;70;50;44000
